orderId,guid,name,eun,manufacturer,catalogueNumber,serialNumber,import,systemGuid
21912444,6c425c16-d790-4cb2-8f97-fe19ac4f3c0f,FKB-VIS-10 ,21110167,Thorlabs GmbH,FKB-VIS-10 ,,y,ff41a29f-7a5e-419a-8ef7-95b17b4e6b4f
21912444,6c425c16-d790-4cb2-8f97-fe19ac4f3c0f,"Box with 10 UVFS Reflective ?25 mm ND Filters, SM1-Mounted, 200 - 1200 nm ",21110169,Thorlabs GmbH,NUK01 ,,y,ff41a29f-7a5e-419a-8ef7-95b17b4e6b4f
21912454,fa225f8f-1cff-48d7-9cb1-19de78fccdad,"Low Distortion ?2"" Mirror Mount, 3 Hex Adjusters",21110369,Thorlabs GmbH,POLARIS-K2F,,y,a0c0fbab-160e-4cde-a525-45a8c6ad6274
21912454,fa225f8f-1cff-48d7-9cb1-19de78fccdad,"Low Distortion ?2"" Mirror Mount, 3 Hex Adjusters",21110370,Thorlabs GmbH,POLARIS-K2F,,y,a0c0fbab-160e-4cde-a525-45a8c6ad6274
21912454,06c630f8-0950-4634-911f-e0cc26ea074b,"Low Distortion ?2"" Mirror Mount, 3 Hex Adjusters",21110367,Thorlabs GmbH,POLARIS-K2F,,y,a0c0fbab-160e-4cde-a525-45a8c6ad6274
21912454,06c630f8-0950-4634-911f-e0cc26ea074b,"Low Distortion ?2"" Mirror Mount, 3 Hex Adjusters",21110366,Thorlabs GmbH,POLARIS-K2F,,y,a0c0fbab-160e-4cde-a525-45a8c6ad6274
21912454,06c630f8-0950-4634-911f-e0cc26ea074b,"Low Distortion ?2"" Mirror Mount, 3 Hex Adjusters",21110368,Thorlabs GmbH,POLARIS-K2F,,y,a0c0fbab-160e-4cde-a525-45a8c6ad6274
21912454,06c630f8-0950-4634-911f-e0cc26ea074b,"Low Distortion ?2"" Mirror Mount, 3 Hex Adjusters",21110365,Thorlabs GmbH,POLARIS-K2F,,y,a0c0fbab-160e-4cde-a525-45a8c6ad6274
21912459,54008872-bd1a-44ad-b18a-ee246ef7278d,"Cuvette Holder for Micro & Macro Cuvettes with SMA905 Fiber Adapter, 30 mm Cage Cube Compatible",21110232,Thorlabs GmbH,CVH100,,y,a0c0fbab-160e-4cde-a525-45a8c6ad6274
21912459,54008872-bd1a-44ad-b18a-ee246ef7278d,"XF100/M One-Axis 100 mm Translation Mount for 12.7 mm - 126.2 mm Rectangular Optics, M4 Taps ",21110233,Thorlabs GMBH,XF100/M,,y, 
21912476,d6479a70-2846-4ced-a47f-d652a2117d68,W2-PW-11005M-LEBG-300-1000-0 * Material: LEBG(BORO33) * Diameter :110.0mm +0/- 0.25mm ,21110248,KOREA ELECTRO OPTCS,W2-PW-11005M-LEBG-300-1000-0,,y,b585ece4-5fa5-4930-afca-5f09ba744571
21912476,d6479a70-2846-4ced-a47f-d652a2117d68,W2-PW-11005M-LEBG-300-1000-0 * Material: LEBG(BORO33) * Diameter :110.0mm +0/- 0.25mm ,21110247,KOREA ELECTRO OPTCS,W2-PW-11005M-LEBG-300-1000-0,,y,b585ece4-5fa5-4930-afca-5f09ba744571
21912476,d6479a70-2846-4ced-a47f-d652a2117d68,W2-PW-11005M-LEBG-300-1000-0 * Material: LEBG(BORO33) * Diameter :110.0mm +0/- 0.25mm ,21110246,KOREA ELECTRO OPTCS,W2-PW-11005M-LEBG-300-1000-0,,y,b585ece4-5fa5-4930-afca-5f09ba744571
21912476,d6479a70-2846-4ced-a47f-d652a2117d68,W2-PW-11005M-LEBG-300-1000-0 * Material: LEBG(BORO33) * Diameter :110.0mm +0/- 0.25mm ,21110249,KOREA ELECTRO OPTCS,W2-PW-11005M-LEBG-300-1000-0,,y,b585ece4-5fa5-4930-afca-5f09ba744571
21912476,d6479a70-2846-4ced-a47f-d652a2117d68,W2-PW-11005M-LEBG-300-1000-0 * Material: LEBG(BORO33) * Diameter :110.0mm +0/- 0.25mm ,21110245,KOREA ELECTRO OPTCS,W2-PW-11005M-LEBG-300-1000-0,,y,b585ece4-5fa5-4930-afca-5f09ba744571
21912476,d6479a70-2846-4ced-a47f-d652a2117d68,W2-PW-11005M-LEBG-300-1000-0 * Material: LEBG(BORO33) * Diameter :110.0mm +0/- 0.25mm ,21110244,KOREA ELECTRO OPTCS,W2-PW-11005M-LEBG-300-1000-0,,y,b585ece4-5fa5-4930-afca-5f09ba744571
21912485,0d5ee005-92c5-4e4e-8c42-f7457b44bb5e,Cirkula?n� jednotka MAC10 XL - PO153380 FF45A-A004 MAC10 ,21110433,ECENA,FF45A-A004,,y, 
21912485,0d5ee005-92c5-4e4e-8c42-f7457b44bb5e,Cirkula?n� jednotka MAC10 XL - PO153380 FF45A-A004 MAC10 ,21110434,ECENA,FF45A-A004,,y, 
21912485,0d5ee005-92c5-4e4e-8c42-f7457b44bb5e,Cirkula?n� jednotka MAC10 XL - PO153380 FF45A-A004 MAC10 ,21110437,ECENA,FF45A-A004,,y, 
21912487,42fc3c63-6677-4199-b9e8-76069f2ec708,"?2"" 50:50 UVFS Plate Beamsplitter, Coating: 350 - 1100 nm, t = 8.0 mm",21110271,Thorlabs GmbH,BSW27,,y,b585ece4-5fa5-4930-afca-5f09ba744571
21912487,42fc3c63-6677-4199-b9e8-76069f2ec708,"GBE20-A - GBE20-A - 20X Achromatic Galilean Beam Expander, AR Coated: 400 - 650 nm ",21110264,Thorlabs GmbH,GBE20-A,,y,b585ece4-5fa5-4930-afca-5f09ba744571
21912487,9db6c49c-130f-4147-922d-27f3b9923395,"Mounted Glan-Thompson Calcite Polarizer, 10 mm x 10 mm Clear Aperture, 350 - 700 nm AR Coating",21110270,Thorlabs GmbH,GTH10M-A,,y,b585ece4-5fa5-4930-afca-5f09ba744571
21912487,9db6c49c-130f-4147-922d-27f3b9923395,"Mounted Glan-Thompson Calcite Polarizer, 10 mm x 10 mm Clear Aperture, 350 - 700 nm AR Coating",21110265,Thorlabs GmbH,GTH10M-A,,y,b585ece4-5fa5-4930-afca-5f09ba744571
21912487,42fc3c63-6677-4199-b9e8-76069f2ec708,"FiberPort, FC/PC, f=18.4 mm, 350 - 700 nm, ?3.01 mm Waist",21110266,Thorlabs GmbH,PAF2P-18A,,y,b585ece4-5fa5-4930-afca-5f09ba744571
21912487,42fc3c63-6677-4199-b9e8-76069f2ec708,"Optical Beam Shutter with 10' Long Cable, ?1"" Aperture, Metric",21110268,Thorlabs GmbH,SH1/M,,y,b585ece4-5fa5-4930-afca-5f09ba744571
21912519,97d038e6-81ed-4722-b055-f3c93ea67307,"FiberPort, FC/PC, f=15.3 mm, 600 - 1050 nm, ?3.33 mm Waist",21110304,Thorlabs GmbH,PAF2P-15B,,y,8fa412ba-0726-4276-aeb1-137786775b57
21912527,3fca5cd8-4faf-4c88-b925-6834b72398ea,"30 mm Cage Cube-Mounted Polarizing Beamsplitter Cube, 700 - 1300 nm, 8-32 Tap",21110256,Thorlabs GmbH,CCM1-PBS255,,y,ce3d91a4-0690-423f-856c-b6cf75022dc2
21912527,3fca5cd8-4faf-4c88-b925-6834b72398ea,"30 mm Cage Cube-Mounted Polarizing Beamsplitter Cube, 700 - 1300 nm, 8-32 Tap",21110258,Thorlabs GmbH,CCM1-PBS255,,y,ce3d91a4-0690-423f-856c-b6cf75022dc2
21912527,3fca5cd8-4faf-4c88-b925-6834b72398ea,"30 mm Cage Cube-Mounted Polarizing Beamsplitter Cube, 700 - 1300 nm, 8-32 Tap",21110253,Thorlabs GmbH,CCM1-PBS255,,y,ce3d91a4-0690-423f-856c-b6cf75022dc2
